,type,geometry-type,geometry-coordinates-0,geometry-coordinates-1,properties-jaar,properties-klooster_id,properties-orde,properties-regel,properties-orde_en,properties-symbol,properties-idL,properties-ST,properties-KR,properties-TI,properties-TIE
364,Feature,Point,5.976762304,51.26522531,1518,N04,norbertinessen,regel van Augustinus,s,http://geoplaza.vu.nl/projects/kloosters/svg/square_f_1.svg,N04,norbertinessen,regel van Augustinus,"Neer, Norbertinessen: Keizerbosch","Neer, Premonstratensian Canonesses: Keizerbosch"
365,Feature,Point,5.853953317,53.05369635,1518,N05,Duitse Orde,regel van de Duitse Orde,t,http://geoplaza.vu.nl/projects/kloosters/svg/triangleUp_m_3.svg,N05,Duitse orde,regel van de Duitse Orde,"Nes, Duitse Orde","Nes, Teutonic Order"
366,Feature,Point,6.041315998,53.36250091,1518,N06,cisterciënzerinnen,regel van Benedictus,c,http://geoplaza.vu.nl/projects/kloosters/svg/circle_f_0.svg,N06,cisterciënzerinnen,regel van Benedictus,"Niawier, Cisterciënzerinnen: Sion","Niawier, Cistercian Nuns: Sion"
367,Feature,Point,4.898717976,52.36591038,1518,N07,regulieren van Windesheim,regel van Augustinus,c,http://geoplaza.vu.nl/projects/kloosters/svg/circleW_m_1.svg,N07,regulieren van Windesheim,regel van Augustinus,"Nieuwer-Amstel, Regulieren: Sint Jan Evangelist","Nieuwer-Amstel, Canons Regular: Sint Jan Evangelist"
368,Feature,Point,3.621111111,51.45333333,1518,N09,kruisheren,regel van Augustinus,t,http://geoplaza.vu.nl/projects/kloosters/svg/triangleUp_m_1.svg,N09,kruisheren,regel van Augustinus,"Nieuwerve, Kruisheren","Nieuwerve, Croziers"
369,Feature,Point,5.567777778,50.64611111,1518,N10,sepulcrinessen,regel van Augustinus,I,http://geoplaza.vu.nl/projects/kloosters/svg/Ishape_f_1.svg,N10,sepulcrinessen,regel van Augustinus,"Nieuwstadt, Sepulcrinessen: Bethlehem","Nieuwstadt, Canonesses Regular of the Holy Sepulchre: Bethlehem"
370,Feature,Point,3.571140328,51.44197693,1518,N11,karmelieten,regel van de karmelieten,c,http://geoplaza.vu.nl/projects/kloosters/svg/circle_m_4.svg,N11,karmelieten,regel van de karmelieten,"Nieuw-Vlissingen, Karmelieten","New-Vlissingen, Carmelites"
371,Feature,Point,5.484775738,52.22305641,1518,N13,zusters des gemenen levens,geen,t,http://geoplaza.vu.nl/projects/kloosters/svg/triangleUp_f_5.svg,N13,zusters des gemenen levens,geen,"Nijkerk, Zusters: Catharina","Nijkerk, Sisters: Catharina"
372,Feature,Point,5.864409238,51.8487689,1518,N14,johannieters,johannieterregel,c,http://geoplaza.vu.nl/projects/kloosters/svg/circle_m_3.svg,N14,johannieters,johannieterregel,"Nijmegen, Johannieters","Nijmegen, Knights Hospitaller"
373,Feature,Point,5.863422947,51.84922044,1518,N15,norbertinessen,regel van Augustinus,s,http://geoplaza.vu.nl/projects/kloosters/svg/square_f_1.svg,N15,norbertinessen,regel van Augustinus,"Nijmegen, Norbertinessen: Maria Magdalena","Nijmegen, Premonstratensian Canonesses: Maria Magdalena"
374,Feature,Point,5.86501214,51.84643269,1518,N16,dominicanen,regel van Augustinus,d,http://geoplaza.vu.nl/projects/kloosters/svg/diamond_m_1.svg,N16,dominicanen,regel van Augustinus,"Nijmegen, Dominicanen","Nijmegen, Dominicans"
375,Feature,Point,5.85933676,51.84706219,1518,N17,tertiarissen,derde regel van Franciscus,t,http://geoplaza.vu.nl/projects/kloosters/svg/triangleUp_f_2.svg,N17,tertiarissen,derde regel van Francsicus,"Nijmegen, Tertiarissen: Hessenberg","Nijmegen, Tertiaries: Hessenberg"
376,Feature,Point,5.862986243,51.84442741,1518,N20,regulieren van Windesheim,regel van Augustinus,c,http://geoplaza.vu.nl/projects/kloosters/svg/circleW_m_1.svg,N20,regulieren van Windesheim,regel van Augustinus,"Nijmegen, Regulieren: Catharina","Nijmegen, Canons Regular: Catharina"
377,Feature,Point,5.860064378,51.84727285,1518,N21,begijnen,geen,c,http://geoplaza.vu.nl/projects/kloosters/svg/circle_f_5.svg,N21,begijnen,geen,"Nijmegen, Zusters: Bethlehem","Nijmegen, Sisters: Bethlehem"
378,Feature,Point,5.859219388,51.84772987,1518,N22,cellebroeders,regel van Augustinus,s,http://geoplaza.vu.nl/projects/kloosters/svg/star_m_1.svg,N22,cellebroeders,regel van Augustinus,"Nijmegen, Cellebroeders","Nijmegen, Alexians"
379,Feature,Point,5.866470851,51.84498462,1518,N23,regularissen van Windesheim,regel van Augustinus,c,http://geoplaza.vu.nl/projects/kloosters/svg/circleW_f_1.svg,N23,regularissen van Windesheim,regel van Augustinus,"Nijmegen, Regularissen: Mariënburg","Nijmegen, Canonesses Regular: Mariënburg"
380,Feature,Point,5.85969081,51.84749806,1518,N24,zusters,geen,s,http://geoplaza.vu.nl/projects/kloosters/svg/square_f_5.svg,N24,zusters,geen,"Nijmegen, Zusters: Sprongshof","Nijmegen, Sisters: Sprongshof"
381,Feature,Point,5.868412912,51.84750332,1518,N27,begijnen,geen,c,http://geoplaza.vu.nl/projects/kloosters/svg/circle_f_5.svg,N27,begijnen,geen,"Nijmegen, Begijnen: Vierzusterhuis","Nijmegen, Beguines: Vierzusterhuis"
382,Feature,Point,5.798918954,51.82870614,1518,N28,regularissen,regel van Augustinus,c,http://geoplaza.vu.nl/projects/kloosters/svg/circle_f_1.svg,N28,regularissen,regel van Augustinus,"Nijmegen, Regularissen: Agnes / Neerbosch","Nijmegen, Canonesses Regular: Agnes / Neerbosch"
